GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie,PuppetHostie,338,369,11,9,22,13,59,72,51,70
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie,Configuration.,54,62,8,4,4,6,7,5,2,4
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie,Configuration,6,0,0,0,0,0,2,0,2,0
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,MessageRawSupport,216,178,7,3,44,32,14,5,9,5
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,GrpcSupport..anon.new StreamObserver() {...},12,0,0,0,5,0,4,0,4,0
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,ContactSelfRawSupport,44,1,0,0,10,1,4,1,4,1
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,FriendshipRawSupport,60,86,3,3,15,22,5,4,3,3
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,GrpcSupport,191,159,17,5,16,28,14,6,3,6
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,TagRawSupport,89,1,0,0,20,1,5,1,5,1
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,RoomInvitationRawSupport,66,13,0,0,14,4,1,2,1,2
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,RoomMemberRawSupport,56,40,0,0,13,12,3,2,3,2
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,ContactRawSupport,152,91,12,0,26,22,10,3,4,3
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,GrpcEventSupport,173,269,24,26,15,38,23,9,3,4
wechaty_2.12/wechaty-puppet-hostie_2.12,wechaty.hostie.support,RoomRawSupport,125,81,0,0,34,15,8,3,8,3
wechaty_2.12/wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcMessagePayload,178,0,0,0,27,0,51,0,51,0
wechaty_2.12/wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.AutoLoginError.,22,0,0,0,3,0,4,0,4,0
wechaty_2.12/wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelRoom.GrpcAccpetRoomInvitation,73,0,0,0,12,0,21,0,21,0
wechaty_2.12/wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,PadplusEnums.PadplusPayloadType.,40,0,0,0,5,0,6,0,6,0
wechaty_2.12/wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelRoom.GrpcRoomPayload,220,0,0,0,33,0,63,0,63,0
wechaty_2.12/wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,GrpcSchemas.GrpcContactOperationOption,31,0,0,0,6,0,9,0,9,0
wechaty_2.12/wechaty-puppet-padplus_2.12,wechaty.padplus.schemas,ModelContact.GrpcContactPayload,213,0,0,0,32,0,61,0,61,0
