GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wechaty_2.12,wechaty,Wechaty..anon.new Runnable() {...},2,21,1,1,0,3,1,2,0,2
wechaty_2.12,wechaty,Wechaty.,5,33,3,3,0,6,3,5,0,5
wechaty_2.12,wechaty,JavaDingDongBot,83,0,2,0,16,0,6,0,5,0
wechaty_2.12,wechaty,DingDongBot.,125,0,12,0,18,0,12,0,6,0
wechaty_2.12,wechaty,DingDongBot,4,0,0,0,0,0,1,0,1,0
wechaty_2.12,wechaty,Wechaty,86,168,1,1,11,17,11,20,10,20
wechaty_2.12,wechaty,WechatyOptions,21,22,0,0,0,6,6,3,6,3
wechaty_2.12,wechaty.helper,ImplicitHelper.,114,27,0,0,7,3,19,5,19,5
wechaty_2.12,wechaty.user,Contact,273,49,44,2,42,9,46,5,23,5
wechaty_2.12,wechaty.user,Image,70,0,0,0,4,0,11,0,11,0
wechaty_2.12,wechaty.user,Conversation,56,12,0,0,4,2,4,2,4,2
wechaty_2.12,wechaty.user,MiniProgram,37,0,0,0,9,0,9,0,9,0
wechaty_2.12,wechaty.user,Tag,3,0,0,0,2,0,1,0,1,0
wechaty_2.12,wechaty.user,Message,606,231,88,14,78,33,76,16,26,15
wechaty_2.12,wechaty.user,Friendship,89,12,4,0,16,2,10,2,8,2
wechaty_2.12,wechaty.user,Room.,95,254,11,3,8,30,10,14,4,13
wechaty_2.12,wechaty.user,Room,476,75,30,2,40,8,50,11,34,11
wechaty_2.12,wechaty.user,UrlLink,9,0,0,0,2,0,2,0,2,0
wechaty_2.12,wechaty.user,Friendship.,15,0,0,0,3,0,3,0,3,0
wechaty_2.12,wechaty.user,ContactSelf,5,0,0,0,1,0,1,0,1,0
